MODAL FREQUENCIES,,,,,,,,,,,,,,
CLT  PLATE,A,,,,,B,,,,,C,,,
Mode/Rho(Kg/M^3),D444,D462,D465,D468,,D444,D445,D447,D456,,D444,D452,D461,D471
1,24,24,24,24,,38,38,38,37,,45,45,44,44
2,39,38,38,38,,40,40,40,40,,47,47,46,46
3,66,65,64,64,,89,89,89,88,,101,101,100,99
4,81,79,79,79,,103,102,102,101,,128,127,125,124
5,127,124,124,123,,156,156,155,154,,182,181,179,177
6,131,129,128,128,,198,197,197,195,,223,221,219,217
7,193,189,188,188,,223,223,222,220,,238,235,233,231
8,205,201,200,199,,235,234,234,232,,245,243,240,238
9,268,262,261,261,,248,247,247,244,,280,277,274,272
10,297,291,290,289,,269,269,268,265,,295,292,289,286
11,300,294,293,292,,320,319,318,315,,350,347,343,340
12,327,321,320,319,,326,326,325,322,,395,391,387,383
13,333,326,325,324,,365,365,364,360,,439,435,430,426
14,350,343,342,341,,406,406,405,401,,449,445,440,436
15,356,349,348,346,,465,464,463,459,,526,522,516,511
16,380,372,371,370,,506,505,504,499,,536,532,526,521
17,402,394,393,392,,510,509,508,503,,567,562,556,551
18,422,414,413,411,,526,526,525,519,,571,566,560,554
19,456,447,446,444,,534,534,533,527,,578,573,566,561
20,472,463,462,460,,559,559,557,552,,610,605,598,593
21,478,469,467,466,,585,585,583,578,,622,616,610,604
22,517,507,506,504,,602,602,600,594,,633,627,620,614
23,548,537,535,534,,605,604,603,597,,674,668,660,654
24,567,555,554,552,,631,630,628,622,,702,695,688,681
25,603,591,589,588,,637,637,635,629,,734,728,720,713
26,630,618,616,614,,666,665,664,657,,770,763,755,747
27,641,628,626,624,,668,667,666,659,,804,797,788,780
28,661,648,646,644,,751,750,748,741,,810,802,794,786
29,664,651,649,647,,786,785,783,776,,869,861,852,843
30,668,655,653,651,,813,812,810,802,,876,869,859,851
31,680,667,665,663,,846,845,844,835,,901,893,883,875
32,686,672,670,668,,858,857,855,847,,915,907,897,888
33,702,688,686,683,,869,868,866,857,,942,934,923,915
34,724,710,708,705,,875,874,872,863,,944,936,925,917
35,724,710,708,706,,894,893,891,882,,987,978,968,958
36,732,718,715,713,,928,927,925,916,,1008,999,988,979
37,771,756,754,751,,947,946,944,934,,1019,1010,999,989
38,774,758,756,754,,953,952,950,940,,1046,1037,1025,1015
39,812,796,794,791,,979,978,976,966,,1059,1050,1038,1028
40,827,810,808,805,,986,985,983,973,,1096,1086,1074,1064
41,829,813,810,807,,1009,1008,1006,996,,1101,1092,1080,1069
42,890,873,870,867,,1040,1039,1036,1026,,1117,1107,1095,1085
43,907,889,886,883,,1044,1043,1040,1030,,1169,1159,1146,1135
44,913,895,892,889,,1047,1046,1044,1034,,1208,1197,1184,1173
45,942,924,921,918,,1054,1053,1051,1040,,1211,1200,1187,1175
46,945,926,923,920,,1105,1104,1101,1090,,1214,1203,1190,1179
47,966,947,944,941,,1134,1133,1131,1119,,1218,1208,1194,1183
48,1004,984,981,978,,1136,1135,1132,1121,,1221,1210,1197,1185
49,1007,988,984,981,,1136,1135,1133,1121,,1241,1230,1217,1205
50,1017,997,994,990,,1214,1213,1210,1198,,1247,1236,1222,1211
